p_id,Age,Sex,Employment status,Car Access,public_trans_per_month,rideshare_per_month,Full-Time,total_rides
260,32.0,Male,Full-Time,Yes,4,1,Full-Time,5
261,39.0,Male,Full-Time,No,4,2,Full-Time,6
262,25.0,Female,Other,Yes,4,3,Other,7
263,44.0,Male,Full-Time,Yes,4,2,Full-Time,6
264,34.0,Male,Full-Time,Yes,4,2,Full-Time,6
265,32.0,Male,Full-Time,Yes,0,1,Full-Time,1
266,45.0,Male,Other,No,2,2,Other,4
267,70.0,Female,Other,No,2,1,Other,3
268,37.0,Female,Other,No,4,0,Other,4
269,33.0,Male,Full-Time,Yes,4,4,Full-Time,8
270,28.0,Male,Other,No,4,4,Other,8
271,64.0,Male,Other,Yes,2,0,Other,2
272,26.0,Female,Full-Time,Yes,2,1,Full-Time,3
